Date,Price,Open,High,Low,Vol.,Change %,Volume
12/10/2023,0.101711,0.098408,0.10257,0.096717,1.97B,3.35%,1970000000
12/9/2023,0.098411,0.101494,0.104721,0.097685,3.29B,-3.05%,3290000000
12/8/2023,0.101504,0.095917,0.103568,0.095552,3.25B,5.87%,3250000000
12/7/2023,0.095879,0.094901,0.098108,0.093017,3.96B,1.03%,3960000000
12/6/2023,0.094903,0.09426,0.105768,0.093407,7.64B,0.76%,7640000000
12/5/2023,0.094188,0.091779,0.095501,0.087496,3.88B,2.62%,3880000000
12/4/2023,0.09178,0.085674,0.092389,0.085299,4.27B,7.12%,4270000000
12/3/2023,0.085677,0.086118,0.087229,0.083675,1.89B,-0.51%,1890000000
12/2/2023,0.086119,0.083816,0.086554,0.083237,1.59B,2.74%,1590000000
12/1/2023,0.083819,0.083396,0.084911,0.082274,1.78B,0.51%,1780000000
11/30/2023,0.08339,0.080411,0.084273,0.080368,2.23B,3.72%,2230000000
11/29/2023,0.080401,0.080742,0.082959,0.079659,2.22B,-0.42%,2220000000
11/28/2023,0.080737,0.078808,0.080913,0.076772,2.46B,2.47%,2460000000
11/27/2023,0.078791,0.078622,0.081402,0.076898,2.89B,0.19%,2890000000
11/26/2023,0.07864,0.07881,0.078871,0.075836,1.20B,-0.22%,1200000000
11/25/2023,0.078812,0.078147,0.079094,0.077515,1.05B,0.85%,1050000000
11/24/2023,0.078148,0.076129,0.078554,0.076017,1.39B,2.66%,1390000000
11/23/2023,0.076126,0.075743,0.076359,0.07499,1.03B,0.51%,1030000000
11/22/2023,0.075737,0.071804,0.076573,0.071663,1.80B,5.48%,1800000000
11/21/2023,0.071804,0.07771,0.078714,0.071074,3.83B,-7.60%,3830000000
11/20/2023,0.07771,0.080447,0.082187,0.077405,2.69B,-3.41%,2690000000
11/19/2023,0.080451,0.080271,0.080651,0.077578,2.46B,0.22%,2460000000
11/18/2023,0.080271,0.086513,0.086644,0.0795,5.19B,-7.22%,5190000000
11/17/2023,0.086521,0.079549,0.087445,0.07913,8.05B,8.75%,8050000000
11/16/2023,0.079556,0.076242,0.083229,0.075968,6.31B,4.34%,6310000000
11/15/2023,0.076243,0.072423,0.07652,0.072316,2.11B,5.28%,2110000000
11/14/2023,0.072423,0.074567,0.075507,0.069681,3.12B,-2.87%,3120000000
11/13/2023,0.074566,0.077925,0.07953,0.073881,3.74B,-4.31%,3740000000
11/12/2023,0.077925,0.078567,0.080252,0.075602,3.18B,-0.82%,3180000000
11/11/2023,0.078567,0.075426,0.081803,0.074628,5.61B,4.16%,5610000000
11/10/2023,0.075427,0.073552,0.075562,0.072743,2.66B,2.55%,2660000000
11/9/2023,0.073549,0.075311,0.077849,0.068625,4.02B,-2.33%,4020000000
11/8/2023,0.075306,0.073367,0.076834,0.072825,2.33B,2.62%,2330000000
11/7/2023,0.073382,0.076415,0.076467,0.071575,3.29B,-3.98%,3290000000
11/6/2023,0.076426,0.071116,0.076526,0.070304,2.73B,7.47%,2730000000
11/5/2023,0.071116,0.069085,0.07172,0.06887,1.79B,2.93%,1790000000
11/4/2023,0.06909,0.068087,0.069266,0.06795,758.04M,1.47%,758040000
11/3/2023,0.068087,0.067893,0.068234,0.066375,1.08B,0.29%,1080000000
11/2/2023,0.067893,0.068958,0.070768,0.066749,2.22B,-1.54%,2220000000
11/1/2023,0.068957,0.068279,0.06961,0.065872,2.20B,0.99%,2200000000
10/31/2023,0.068279,0.069584,0.070814,0.066167,2.18B,-1.87%,2180000000
10/30/2023,0.069583,0.069358,0.070324,0.067998,1.23B,0.33%,1230000000
10/29/2023,0.069358,0.069016,0.070165,0.067541,668.72M,0.50%,668720000
10/28/2023,0.069016,0.067795,0.069768,0.067519,890.07M,1.80%,890070000
10/27/2023,0.067796,0.071849,0.072352,0.067369,2.06B,-5.64%,2060000000
10/26/2023,0.07185,0.068325,0.075095,0.067859,4.45B,5.17%,4450000000
10/25/2023,0.06832,0.066569,0.069695,0.064908,2.60B,2.63%,2600000000
10/24/2023,0.066567,0.067443,0.069908,0.064818,3.09B,-1.30%,3090000000
10/23/2023,0.067445,0.061677,0.067817,0.061312,2.77B,9.34%,2770000000
10/22/2023,0.061683,0.061203,0.061725,0.059906,516.33M,0.78%,516330000
10/21/2023,0.061203,0.059906,0.06143,0.059455,518.00M,2.16%,518000000
10/20/2023,0.059906,0.058878,0.060386,0.058637,485.43M,1.75%,485430000
10/19/2023,0.058878,0.058583,0.058896,0.057868,337.78M,0.51%,337780000
10/18/2023,0.058581,0.059036,0.05927,0.058295,347.79M,-0.77%,347790000
10/17/2023,0.059034,0.060009,0.060164,0.058552,803.86M,-1.62%,803860000
10/16/2023,0.060009,0.05931,0.061622,0.059256,1.22B,1.19%,1220000000
10/15/2023,0.059304,0.059846,0.059859,0.059019,387.94M,-0.91%,387940000
10/14/2023,0.059846,0.05839,0.059978,0.058352,482.65M,2.49%,482650000
10/13/2023,0.058392,0.057885,0.058807,0.057792,636.13M,0.85%,636130000
10/12/2023,0.057899,0.058511,0.058518,0.0574,524.59M,-1.05%,524590000
10/11/2023,0.058511,0.059136,0.059472,0.057698,633.47M,-1.05%,633470000
10/10/2023,0.059133,0.058728,0.059231,0.058476,495.05M,0.69%,495050000
10/9/2023,0.058727,0.060958,0.060996,0.057764,1.08B,-3.66%,1080000000
10/8/2023,0.060957,0.061424,0.061592,0.060743,340.19M,-0.76%,340190000
10/7/2023,0.061425,0.061366,0.061656,0.061055,421.86M,0.09%,421860000
10/6/2023,0.061366,0.06085,0.061549,0.060741,366.35M,0.85%,366350000
10/5/2023,0.06085,0.061467,0.061648,0.06077,311.88M,-1.00%,311880000
10/4/2023,0.061467,0.061374,0.061577,0.060172,444.53M,0.15%,444530000
10/3/2023,0.061374,0.06201,0.062289,0.06114,842.74M,-1.02%,842740000
10/2/2023,0.062007,0.06318,0.064054,0.061473,1.52B,-1.86%,1520000000
10/1/2023,0.06318,0.062072,0.063556,0.061743,601.71M,1.79%,601710000
